[0,1,315],
[0,3,393],
[1,0,200],
[1,4,231],
[2,3,667],
[2,18,790],
[3,0,615],
[3,2,424],
[3,36,730],
[3,42,618],
[4,1,200],
[4,6,246],
[5,6,405],
[5,9,545],
[5,16,282],
[5,22,529],
[6,4,200],
[6,5,403],
[6,34,520],
[7,12,829],
[7,24,512],
[7,33,395],
[8,9,517],
[8,28,321],
[8,37,200],
[8,41,276],
[9,5,678],
[9,8,392],
[9,10,389],
[10,9,205],
[10,11,495],
[10,16,574],
[10,19,479],
[11,10,541],
[11,12,561],
[11,20,606],
[11,41,261],
[12,7,758],
[12,11,707],
[12,35,519],
[13,14,419],
[13,15,868],
[13,39,227],
[14,13,513],
[14,17,200],
[14,21,200],
[15,13,598],
[15,42,200],
[16,5,328],
[16,10,554],
[16,18,473],
[16,36,469],
[17,14,290],
[17,39,517],
[18,2,635],
[18,16,576],
[18,19,497],
[18,23,397],
[19,10,453],
[19,18,388],
[19,20,522],
[19,23,506],
[20,11,240],
[20,19,368],
[21,14,210],
[22,5,377],
[22,34,305],
[22,40,230],
[23,18,480],
[23,19,467],
[24,7,472],
[24,32,325],
[25,30,200],
[25,33,316],
[26,31,237],
[26,33,442],
[27,30,350],
[27,35,831],
[28,8,371],
[28,35,418],
[29,31,200],
[29,32,200],
[30,25,289],
[30,27,200],
[31,26,200],
[31,29,200],
[32,24,323],
[32,29,266],
[33,7,200],
[33,25,293],
[33,26,505],
[34,6,279],
[34,22,270],
[34,40,340],
[35,12,410],
[35,27,767],
[35,28,606],
[36,3,501],
[36,16,557],
[37,8,272],
[38,39,407],
[38,42,821],
[39,13,375],
[39,17,315],
[39,38,406],
[40,22,247],
[40,34,200],
[41,8,280],
[41,11,494],
[42,3,974],
[42,15,200],
[42,38,460],
[27,33,442],
[33,27,340],
[26,32,200],
[32,26,289],
[6,0,226],
[0,6,370],
[21,17,321],
[17,21,200],
[37,28,200],
[28,37,272],
[35,41,637],
[41,35,521],
[6,36,200],
[36,6,298],
[41,10,475],
[10,41,483],
[38,13,365],
[13,38,434],
[2,15,688],
[15,2,921]